City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
4,Carnarvon,AU,84.76,clear sky,-24.8667,113.6333,Hospitality Carnarvon
8,Sorong,ID,86.68,overcast clouds,-0.8833,131.25,waigo splash hotel
9,Soure,BR,75.79,overcast clouds,-0.7167,-48.5233,Casarão
14,Busselton,AU,75.99,scattered clouds,-33.65,115.3333,Observatory Guest House
15,Ternate,ID,83.68,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
25,Buala,SB,83.75,light rain,-8.145,159.5921,Maringe Lagoon Lodge
28,Mahebourg,MU,84.2,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
29,Mayumba,GA,78.24,light rain,-3.432,10.6554,LIKWALE LODGE
30,Butaritari,KI,81.86,light rain,3.0707,172.7902,Isles Sunset Lodge
36,Rikitea,PF,77.77,overcast clouds,-23.1203,-134.9692,Pension Maro'i
39,Dwarka,IN,84.97,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
41,Georgetown,MY,87.8,scattered clouds,5.4112,100.3354,Cititel Penang
58,Gat,IL,75.99,clear sky,31.61,34.7642,OlusHome
59,Ouadda,CF,79.27,broken clouds,8.0777,22.4007,
63,Hithadhoo,MV,81.91,scattered clouds,-0.6,73.0833,Scoop Guest House
71,Puerto Ayora,EC,75.99,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
75,Namibe,AO,81.39,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
76,Kilindoni,TZ,80.55,light rain,-7.9139,39.6668,Bustani B&B
81,Sinnamary,GF,77.54,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
90,Bama,NG,81.93,broken clouds,11.5221,13.6856,UN Humanitarian Hub
93,Faanui,PF,82.71,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
94,Vaini,TO,77.0,few clouds,-21.2,-175.2,Keleti Beach Resort
97,Avarua,CK,77.0,clear sky,-21.2078,-159.775,Paradise Inn
99,Touros,BR,75.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
101,Bouca,CF,80.71,overcast clouds,6.5105,18.2733,
102,Martapura,ID,87.8,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
104,Samarai,PG,83.55,broken clouds,-10.6167,150.6667,Nuli Sapi
106,Poum,NC,78.66,scattered clouds,-20.2333,164.0167,Gîte kajeon
108,Kieta,PG,80.4,light rain,-6.2167,155.6333,Uruna Bay Retreat
