City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Airai,TL,-8.9266,125.4092,72.88,55,28,4.88,scattered clouds
1,Bredasdorp,ZA,-34.5322,20.0403,44.6,87,1,5.75,clear sky
2,Margate,GB,51.3813,1.3862,42.01,78,3,4.0,clear sky
3,Markivka,UA,49.5229,39.5705,50.59,67,75,10.09,light rain
4,Carnarvon,AU,-24.8667,113.6333,84.76,39,2,8.1,clear sky
5,Punta Arenas,CL,-53.15,-70.9167,46.4,71,0,11.5,clear sky
6,Ushuaia,AR,-54.8,-68.3,42.8,81,75,5.75,broken clouds
7,Sitka,US,57.0531,-135.33,46.4,81,75,3.13,broken clouds
8,Sorong,ID,-0.8833,131.25,86.68,64,88,15.01,overcast clouds
9,Soure,BR,-0.7167,-48.5233,75.79,88,100,1.86,overcast clouds
10,Klaksvik,FO,62.2266,-6.589,46.4,100,75,11.5,mist
11,New Norfolk,AU,-42.7826,147.0587,62.01,73,98,4.0,light rain
12,Liwale,TZ,-9.7667,37.9333,72.5,87,55,10.36,broken clouds
13,Ponta Do Sol,PT,32.6667,-17.1,57.0,71,14,3.0,few clouds
14,Busselton,AU,-33.65,115.3333,75.99,45,33,1.99,scattered clouds
15,Ternate,ID,0.8,127.4,83.68,72,51,12.17,broken clouds
16,Yellowknife,CA,62.456,-114.3525,32.0,80,20,5.75,few clouds
17,Bethel,US,41.3712,-73.414,39.99,84,76,9.55,broken clouds
18,Albany,US,42.6001,-73.9662,39.0,77,98,6.44,overcast clouds
19,Zhanakorgan,KZ,43.9098,67.2495,71.1,25,74,3.94,broken clouds
20,Jamestown,US,42.097,-79.2353,37.0,94,100,7.0,overcast clouds
21,Ribeira Grande,PT,38.5167,-28.7,63.39,92,95,16.96,overcast clouds
22,Torbay,CA,47.6666,-52.7314,33.01,93,90,17.27,overcast clouds
23,Laguna,US,38.421,-121.4238,57.99,58,1,4.61,clear sky
24,Champerico,GT,14.3,-91.9167,66.0,98,55,8.68,broken clouds
25,Buala,SB,-8.145,159.5921,83.75,75,77,3.76,light rain
26,Coahuayana,MX,18.7333,-103.6833,68.36,70,0,3.42,clear sky
27,Piacabucu,BR,-10.4056,-36.4344,74.07,86,46,1.05,light rain
28,Mahebourg,MU,-20.4081,57.7,84.2,74,75,11.5,broken clouds
29,Mayumba,GA,-3.432,10.6554,78.24,89,98,6.96,light rain
30,Butaritari,KI,3.0707,172.7902,81.86,76,59,10.13,light rain
31,Marystown,CA,47.1666,-55.1483,33.4,83,12,18.72,few clouds
32,Mataura,NZ,-46.1927,168.8643,55.0,65,72,7.0,broken clouds
33,Chuy,UY,-33.6971,-53.4616,63.54,94,0,3.58,clear sky
34,Nikolskoye,RU,59.7035,30.7861,46.0,42,0,11.18,clear sky
35,Arraial Do Cabo,BR,-22.9661,-42.0278,74.08,78,15,16.44,few clouds
36,Rikitea,PF,-23.1203,-134.9692,77.77,67,100,10.16,overcast clouds
37,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,93,75,2.3,broken clouds
38,Cimarron Hills,US,38.8586,-104.6989,28.99,80,90,10.36,light snow
39,Dwarka,IN,22.2394,68.9678,84.97,62,22,10.47,few clouds
40,Fortuna,US,40.5982,-124.1573,48.99,93,90,4.61,overcast clouds
41,Georgetown,MY,5.4112,100.3354,87.8,70,40,8.05,scattered clouds
42,Visby,SE,57.6409,18.296,44.01,75,90,9.22,overcast clouds
43,Kapaa,US,22.0752,-159.319,69.8,83,90,6.91,light rain
44,Vardo,NO,70.3705,31.1107,40.03,80,100,30.18,overcast clouds
45,Coihaique,CL,-45.5752,-72.0662,44.92,95,100,4.7,overcast clouds
