City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-04-16 19:50:39,-23.1203,-134.9692,77.11,69,100,10.29
1,Bluff,NZ,2021-04-16 19:50:25,-46.6,168.3333,42.01,94,92,5.01
2,Ushuaia,AR,2021-04-16 19:50:20,-54.8,-68.3,46.4,61,20,37.98
3,Kapaa,US,2021-04-16 19:50:40,22.0752,-159.319,73.99,73,1,8.05
4,Ilulissat,GL,2021-04-16 19:50:40,69.2167,-51.1,8.6,72,75,16.11
5,Solnechnyy,RU,2021-04-16 19:50:40,50.7214,136.6319,28.6,96,98,3.27
6,Qaanaaq,GL,2021-04-16 19:50:41,77.484,-69.3632,6.04,71,0,1.7
7,Port Alfred,ZA,2021-04-16 19:46:22,-33.5906,26.891,62.65,62,6,16.67
8,Tall Kayf,TR,2021-04-16 19:50:41,37.0833,41.0667,64.85,38,100,7.54
9,Lorengau,PG,2021-04-16 19:50:41,-2.0226,147.2712,81.3,76,100,7.54
10,Belem De Sao Francisco,BR,2021-04-16 19:50:42,-8.7539,-38.9658,85.78,47,100,16.75
11,Gogrial,SS,2021-04-16 19:50:42,8.5332,28.1004,92.57,14,11,3.51
12,East London,ZA,2021-04-16 19:47:19,-33.0153,27.9116,62.62,59,3,10.87
13,Provideniya,RU,2021-04-16 19:50:42,64.3833,-173.3,28.98,92,100,8.01
14,New Norfolk,AU,2021-04-16 19:50:43,-42.7826,147.0587,53.01,74,100,3.0
15,Hilo,US,2021-04-16 19:50:43,19.7297,-155.09,78.8,53,1,4.85
16,Nome,US,2021-04-16 19:50:43,64.5011,-165.4064,25.0,86,90,8.05
17,Airai,TL,2021-04-16 19:50:44,-8.9266,125.4092,57.61,87,44,2.75
18,Hermanus,ZA,2021-04-16 19:50:44,-34.4187,19.2345,64.99,65,0,4.0
19,Chokurdakh,RU,2021-04-16 19:50:44,70.6333,147.9167,-8.64,100,99,7.72
20,Goderich,CA,2021-04-16 19:50:44,43.7501,-81.7165,37.4,87,100,16.11
